                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.3883,                0.26711,                0.78295,                0.99968,                0.99954,                  0.995,                0.93912,                 0.3418,                0.23434,                0.77226,              0.0004666,              0.0004666,              0.0004666
                     37,                0.38513,                0.26515,                0.77526,                0.99952,                0.99954,                  0.995,                0.95544,                 0.3016,                0.22349,                0.77028,             0.00045953,             0.00045953,             0.00045953
                     38,                0.37135,                0.25809,                0.78059,                0.99957,                0.99954,                  0.995,                0.95329,                0.29754,                0.21889,                 0.7699,             0.00045246,             0.00045246,             0.00045246
                     39,                0.37807,                0.26472,                 0.7742,                0.99955,                0.99954,                  0.995,                0.94818,                0.31789,                0.22908,                 0.7712,             0.00044539,             0.00044539,             0.00044539
                     40,                0.36972,                0.26128,                0.78495,                 0.9996,                0.99954,                  0.995,                0.95425,                0.30217,                0.22779,                0.77043,             0.00043832,             0.00043832,             0.00043832
                     41,                 0.3748,                0.25906,                0.77979,                0.99962,                0.99954,                  0.995,                0.95512,                0.30039,                0.22314,                0.76969,             0.00043126,             0.00043126,             0.00043126
                     42,                0.35233,                0.25623,                0.77788,                0.99963,                0.99954,                  0.995,                0.95633,                0.28882,                0.21601,                   0.77,             0.00042419,             0.00042419,             0.00042419
                     43,                0.34392,                0.24011,                 0.7758,                0.99956,                 0.9995,                  0.995,                0.95833,                0.28481,                0.20903,                0.76886,             0.00041712,             0.00041712,             0.00041712
                     44,                0.36464,                0.25345,                0.77088,                0.99961,                0.99941,                  0.995,                0.96051,                0.28639,                0.21105,                0.76872,             0.00041005,             0.00041005,             0.00041005
                     45,                0.34843,                0.24225,                0.77713,                0.99955,                0.99939,                  0.995,                0.95783,                0.28256,                0.21544,                 0.7692,             0.00040298,             0.00040298,             0.00040298
                     46,                0.34291,                0.24396,                0.76828,                0.99969,                0.99954,                  0.995,                0.95487,                0.28984,                0.21408,                0.76935,             0.00039591,             0.00039591,             0.00039591
                     47,                0.36114,                0.25197,                0.77019,                0.99955,                0.99954,                  0.995,                0.95844,                0.28809,                0.21388,                 0.7697,             0.00038884,             0.00038884,             0.00038884
                     48,                0.34936,                0.24089,                0.78051,                0.99965,                0.99954,                  0.995,                 0.9533,                0.29902,                0.21711,                0.76928,             0.00038178,             0.00038178,             0.00038178
                     49,                 0.3446,                0.23852,                 0.7768,                 0.9996,                0.99952,                  0.995,                0.96032,                0.28291,                0.20559,                0.76864,             0.00037471,             0.00037471,             0.00037471
